num,payload_ent,tcp_ent,src_ip,src_mac,dst_ip,dst_mac,seq,ack,ip_len,func_code,ref_num,data_cnt,trans_id,mbtcp_len,sport,dport,payload_len,label
24000,136.0,139.0,0,240,127,215,0,0,2,127,0,0,192,148,28,3,52,0
24001,138.0,145.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24002,144.0,148.0,255,38,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24003,146.0,147.0,127,215,0,240,0,0,1,127,0,0,192,106,3,28,50,0
24004,143.0,147.0,255,38,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24005,141.0,147.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24006,125.0,131.0,0,240,255,38,0,0,1,0,0,0,0,0,28,3,48,0
24007,143.0,148.0,255,38,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24008,152.0,154.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24009,137.0,141.0,0,240,255,38,0,0,2,127,0,0,193,148,28,3,52,0
24010,149.0,148.0,0,240,42,255,0,0,0,0,0,0,0,0,28,3,40,0
24011,153.0,150.0,42,255,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24012,142.0,144.0,255,38,0,240,0,0,1,127,0,0,193,106,3,28,50,0
24013,150.0,148.0,42,255,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24014,148.0,147.0,0,240,42,255,0,0,0,0,0,0,0,0,28,3,40,0
24015,129.0,131.0,0,240,42,255,0,0,1,0,0,0,0,0,28,3,48,0
24016,148.0,148.0,42,255,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24017,153.0,149.0,0,240,42,255,0,0,0,0,0,0,0,0,28,3,40,0
24018,136.0,136.0,0,240,42,255,0,0,2,85,0,0,191,148,28,3,52,0
24019,152.0,154.0,0,240,85,68,0,0,0,0,0,0,0,0,28,3,40,0
24020,146.0,149.0,85,68,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24021,145.0,144.0,42,255,0,240,0,0,1,85,0,0,191,106,3,28,50,0
24022,147.0,150.0,85,68,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24023,146.0,150.0,0,240,85,68,0,0,0,0,0,0,0,0,28,3,40,0
24024,124.0,130.0,0,240,85,68,0,0,1,0,0,0,0,0,28,3,48,0
24025,142.0,145.0,85,68,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24026,150.0,150.0,0,240,85,68,0,0,0,0,0,0,0,0,28,3,40,0
24027,132.0,136.0,0,240,85,68,0,0,2,85,0,0,193,148,28,3,52,0
24028,149.0,151.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
24029,155.0,154.0,170,0,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24030,137.0,140.0,85,68,0,240,0,0,1,85,0,0,193,106,3,28,50,0
24031,156.0,155.0,170,0,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24032,146.0,149.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
24033,126.0,132.0,0,240,170,0,0,0,1,0,0,0,0,0,28,3,48,0
24034,140.0,143.0,170,0,0,240,0,0,1,0,0,0,0,0,3,28,48,0
24035,139.0,142.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
24036,130.0,134.0,0,240,170,0,0,0,2,127,0,0,193,148,28,3,52,0
24037,154.0,152.0,0,240,212,70,0,0,0,0,0,0,0,0,28,3,40,0
24038,152.0,150.0,212,70,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24039,139.0,141.0,170,0,0,240,0,0,1,127,0,0,193,106,3,28,50,0
